Tarih,Saat,Basinc,Rakim,Sicaklik
6/11/2023,23:5:46,925.98,753.19,7.92
6/11/2023,23:5:52,-0.00,nan,42.50
6/11/2023,23:5:58,-0.00,nan,42.50
6/11/2023,23:6:4,-0.00,nan,42.50
6/11/2023,23:6:10,-0.00,nan,42.50
6/11/2023,23:6:16,-0.00,nan,42.50
6/11/2023,23:6:22,-0.00,nan,42.50
6/11/2023,23:6:28,-0.00,nan,42.50
6/11/2023,23:6:34,-0.00,nan,42.50
6/11/2023,23:6:40,-0.00,nan,42.50
6/11/2023,23:6:46,-0.00,nan,42.50
6/11/2023,23:6:52,-0.00,nan,42.50
6/11/2023,23:6:58,-0.00,nan,42.50
6/11/2023,23:7:4,-0.00,nan,42.50
6/11/2023,23:7:10,-0.00,nan,42.50
6/11/2023,23:7:16,-0.00,nan,42.50
6/11/2023,23:7:22,-0.00,nan,42.50
6/11/2023,23:7:28,-0.00,nan,42.50
6/11/2023,23:7:34,-0.00,nan,42.50
6/11/2023,23:7:40,-0.00,nan,42.50
6/11/2023,23:7:46,-0.00,nan,42.50
6/11/2023,23:7:52,-0.00,nan,42.50
6/11/2023,23:7:58,-0.00,nan,42.50
6/11/2023,23:8:4,-0.00,nan,42.50
6/11/2023,23:8:10,-0.00,nan,42.50
6/11/2023,23:8:17,-0.00,nan,42.50
6/11/2023,23:8:23,-0.00,nan,42.50
6/11/2023,23:8:29,-0.00,nan,42.50
6/11/2023,23:8:35,-0.00,nan,42.50
6/11/2023,23:8:41,-0.00,nan,42.50
6/11/2023,23:8:47,-0.00,nan,42.50
6/11/2023,23:8:53,-0.00,nan,42.50
6/11/2023,23:8:59,-0.00,nan,42.50
6/11/2023,23:9:5,-0.00,nan,42.50
6/11/2023,23:9:11,-0.00,nan,42.50
6/11/2023,23:9:17,-0.00,nan,42.50
6/11/2023,23:9:23,-0.00,nan,42.50
6/11/2023,23:9:29,-0.00,nan,42.50
6/11/2023,23:9:35,-0.00,nan,42.50
6/11/2023,23:9:41,-0.00,nan,42.50
6/11/2023,23:9:47,-0.00,nan,42.50
6/11/2023,23:9:53,-0.00,nan,42.50
6/11/2023,23:9:59,-0.00,nan,42.50
6/11/2023,23:10:5,-0.00,nan,42.50
6/11/2023,23:10:11,-0.00,nan,42.50
6/11/2023,23:10:17,-0.00,nan,42.50
6/11/2023,23:10:23,-0.00,nan,42.50
6/11/2023,23:10:29,-0.00,nan,42.50
6/11/2023,23:10:35,-0.00,nan,42.50
6/11/2023,23:10:41,-0.00,nan,42.50
6/11/2023,23:10:47,-0.00,nan,42.50
6/11/2023,23:10:53,-0.00,nan,42.50
6/11/2023,23:10:59,-0.00,nan,42.50
6/11/2023,23:11:5,-0.00,nan,42.50
6/11/2023,23:11:11,-0.00,nan,42.50
6/11/2023,23:11:17,-0.00,nan,42.50
6/11/2023,23:11:23,-0.00,nan,42.50
6/11/2023,23:11:29,-0.00,nan,42.50
6/11/2023,23:11:35,-0.00,nan,42.50
6/11/2023,23:11:41,-0.00,nan,42.50
6/11/2023,23:11:47,-0.00,nan,42.50
6/11/2023,23:11:53,-0.00,nan,42.50
6/11/2023,23:11:59,-0.00,nan,42.50
6/11/2023,23:12:5,-0.00,nan,42.50
6/11/2023,23:12:11,-0.00,nan,42.50
6/11/2023,23:12:17,-0.00,nan,42.50
6/11/2023,23:12:23,-0.00,nan,42.50
6/11/2023,23:12:29,-0.00,nan,42.50
6/11/2023,23:12:35,-0.00,nan,42.50
6/11/2023,23:12:41,-0.00,nan,42.50
6/11/2023,23:12:47,-0.00,nan,42.50
6/11/2023,23:12:53,-0.00,nan,42.50
6/11/2023,23:12:59,-0.00,nan,42.50
6/11/2023,23:13:5,-0.00,nan,42.50
6/11/2023,23:13:11,-0.00,nan,42.50
6/11/2023,23:13:17,-0.00,nan,42.50
6/11/2023,23:13:23,-0.00,nan,42.50
6/11/2023,23:13:29,-0.00,nan,42.50
6/11/2023,23:13:35,-0.00,nan,42.50
6/11/2023,23:13:41,-0.00,nan,42.50
6/11/2023,23:13:47,-0.00,nan,42.50
6/11/2023,23:13:53,-0.00,nan,42.50
